,year,selling_price,km_driven,fuel,seller_type,transmission,owner
729,2014,550000,50000,0,0,0,0
730,2018,4000000,68000,0,0,1,0
731,2010,220000,120000,0,0,0,1
732,2019,500000,20000,1,0,0,0
733,2010,140000,30000,1,0,0,0
734,2013,325000,60000,0,0,0,0
735,2010,210000,90000,1,0,0,2
736,2008,110000,90000,1,0,0,1
737,2019,1200000,25000,0,0,0,0
738,2017,229999,40000,1,0,0,0
739,2012,225000,110000,1,0,0,1
740,2006,165000,132000,1,0,0,0
741,2018,525000,10980,1,1,1,0
742,2018,325000,20629,1,1,0,0
743,2018,1500000,50000,0,0,0,0
744,2015,400000,30000,1,0,1,0
745,2015,550000,69782,1,1,0,0
746,2003,98000,54000,1,0,0,0
747,2013,900000,63654,0,1,0,0
748,2017,700000,60000,0,0,0,0
749,2015,890000,52000,0,1,0,0
750,2015,490000,59385,0,1,0,0
751,2015,525000,70378,1,1,0,0
752,2013,330000,55425,1,1,0,0
753,2013,550000,78413,0,1,0,1
754,2018,790000,40890,0,1,0,0
755,2015,350000,34823,1,1,0,1
756,2017,1700000,75000,0,0,1,0
757,2017,750000,55545,0,1,0,0
758,2014,409999,56541,0,1,0,0
759,2016,220000,43700,1,0,0,0
760,2009,68000,120000,1,0,0,1
761,2017,290000,20000,1,0,0,0
762,2014,600000,27483,0,1,0,0
763,2019,470000,8000,1,0,0,0
764,2008,150000,30000,1,0,0,0
765,2014,180000,56207,1,1,0,1
766,2006,80000,70000,1,0,0,0
767,2018,875000,1440,1,0,0,0
768,2019,300000,50000,1,0,0,0
769,2017,2800000,20000,0,0,1,0
770,2017,1330000,91195,0,1,0,0
771,2011,220000,63657,0,1,0,0
772,2013,250000,60000,0,0,0,0
773,2016,919999,75000,0,1,0,0
774,2013,380000,97248,1,1,0,0
775,2012,450000,46000,0,0,0,0
776,2016,770000,10000,1,0,1,0
777,2018,550000,80000,0,0,0,0
778,2011,320000,100000,0,0,0,1
779,2013,400000,35000,1,0,0,0
780,2017,450000,50000,1,0,1,0
781,2011,220000,90000,0,0,0,2
782,2012,400000,150000,0,0,0,1
783,2013,530000,89000,1,0,0,1
784,2014,390000,60000,0,0,0,1
785,2012,185000,100000,0,0,0,1
786,2012,300000,100000,1,0,0,1
787,2014,575000,90000,0,0,0,1
788,2014,300000,75000,1,0,0,0
789,2017,425000,36000,0,1,0,0
790,2016,350000,12000,1,0,0,0
791,2017,550000,12997,0,1,0,0
792,2017,500000,40000,1,0,1,0
793,2015,600000,60000,0,0,0,0
794,2013,300000,25000,0,0,0,1
795,2018,1150000,26430,0,1,0,0
796,2015,475000,24600,1,1,0,0
797,2011,260000,28481,1,1,0,0
798,2013,350000,100000,1,0,0,0
799,2013,750000,41988,0,1,0,0
800,2009,180000,30375,1,1,0,0
801,2017,350000,7658,1,1,1,0
802,2017,611000,34400,0,1,0,0
803,2017,325000,18500,1,1,0,0
804,2012,225000,48000,1,1,0,0
805,2014,300000,28942,1,1,1,0
806,2017,400000,50000,0,0,0,1
807,2012,711000,53600,0,1,0,0
808,2015,851000,53652,0,1,0,0
809,2014,500000,25000,1,0,0,0
810,2007,250000,80000,0,0,0,1
811,2017,150000,50000,1,0,0,0
812,2016,610000,15000,0,0,0,1
813,2018,450000,5000,1,0,0,0
814,2017,744000,106000,0,0,0,0
815,2008,120000,100000,1,0,0,2
816,2016,220000,60000,1,0,0,2
817,2012,480000,120000,0,0,0,3
818,2017,370000,82000,1,0,1,0
819,2003,55000,35000,0,0,0,1
820,2013,125000,205000,1,0,0,0
821,2011,260000,125000,0,0,0,2
822,2015,350000,130000,0,0,0,0
823,2012,170000,97000,2,0,0,1
824,2015,350000,90000,1,0,0,1
825,2009,250000,60000,1,0,0,2
826,2013,170000,60000,0,0,0,0
827,2018,1300000,35000,0,0,0,0
828,2019,550000,25000,1,0,0,0
829,2017,400000,15000,1,0,0,0
830,2011,120000,20000,1,0,0,0
831,2011,120000,20000,1,0,0,0
832,2010,275000,70000,1,0,0,0
833,2016,285000,90000,1,0,0,0
834,2016,900000,80000,0,0,0,0
835,2014,2500000,79500,0,0,1,1
836,2013,620000,70000,0,0,0,1
837,2018,1700000,5000,0,0,0,0
838,2018,650000,15000,1,0,0,0
839,2014,500000,35000,1,0,0,0
840,2009,250000,120000,0,0,0,1
841,2018,950000,15000,0,0,0,1
842,2015,320000,60000,1,0,0,0
843,2013,450000,120000,0,0,0,0
844,2016,350000,90000,0,0,0,0
845,2015,400000,90000,1,0,0,0
846,2018,200000,10000,1,0,0,0
847,2009,250000,72000,0,0,0,1
848,2011,550000,197000,1,0,0,1
849,1999,85000,70000,1,0,0,1
850,2001,52000,50000,1,0,0,2
851,2017,1200000,50000,0,0,1,0
852,2011,450000,60000,1,0,1,2
853,2018,615000,40000,1,0,0,0
854,2012,400000,60000,0,0,0,1
855,2013,60000,40000,1,0,0,0
856,2017,500000,9161,1,0,0,0
857,2015,600000,45000,1,0,0,0
858,2010,110000,110000,1,0,0,0
859,2013,175000,80000,1,0,0,0
860,2011,325000,100000,0,0,0,1
861,2017,425000,90000,0,0,0,0
862,2009,160000,70000,2,0,0,2
863,2007,100000,80000,1,0,0,2
864,2014,390000,110000,0,0,0,1
865,2017,400000,50000,1,0,0,0
866,2018,509999,5000,1,0,0,0
867,2008,150000,90000,1,0,0,2
868,2009,110000,120000,1,0,0,0
869,2013,450000,80000,0,0,0,0
870,2017,400000,38000,1,0,0,1
871,2009,140000,120000,1,0,0,0
872,2011,130000,90000,0,0,0,0
873,2017,160000,50000,1,0,0,0
874,2016,150000,60000,1,0,0,0
875,2013,500000,100000,0,0,0,1
876,2011,40000,19000,1,0,0,0
877,2006,140000,200000,0,0,0,2
878,2015,227000,70000,0,0,0,1
879,2011,285000,50000,0,0,0,1
880,2012,155000,19077,1,0,0,1
881,2016,210000,30000,1,0,0,0
882,2009,140000,80000,1,0,0,1
883,2015,940000,128000,0,0,0,0
884,2013,750000,80000,0,0,0,0
885,2016,610000,100000,0,0,0,0
886,2015,450000,50000,0,0,0,0
887,2012,409999,56000,0,0,0,0
888,2018,100000,21302,1,0,0,0
889,2018,300000,10500,1,0,0,0
890,2013,400000,107000,0,0,0,0
891,2010,210000,60000,1,0,0,1
892,2006,90000,120000,1,0,0,1
893,2010,222000,70000,1,0,0,0
894,2015,240000,50000,1,0,0,1
895,2013,450000,70000,0,0,0,1
896,2013,450000,1000,0,1,0,1
897,2018,3800000,10000,0,1,1,0
898,2013,1580000,86000,0,1,1,0
899,2019,4950000,30000,0,1,1,0
900,2016,535000,52600,0,0,0,0
901,2012,225000,110000,1,0,0,1
902,2017,550000,19890,1,1,1,0
903,2016,670000,7104,1,2,0,0
904,2015,625000,11918,1,2,0,0
905,2017,520000,10510,1,1,1,0
906,2016,239000,41000,1,1,0,0
907,2017,2600000,47162,0,2,1,0
908,2015,750000,45974,0,2,0,0
909,2012,229999,49824,1,1,0,0
910,2013,1300000,58500,0,1,1,0
911,2005,80000,56580,1,1,0,0
912,2012,385000,52000,0,1,0,0
913,2015,760000,55340,1,2,0,0
914,2017,600000,46507,0,2,0,0
915,2013,450000,1000,0,1,0,1
916,2018,3800000,10000,0,1,1,0
917,2013,1580000,86000,0,1,1,0
918,2019,4950000,30000,0,1,1,0
919,2016,535000,52600,0,0,0,0
920,2012,225000,110000,1,0,0,1
921,2017,550000,19890,1,1,1,0
922,2016,670000,7104,1,2,0,0
923,2015,625000,11918,1,2,0,0
924,2017,520000,10510,1,1,1,0
925,2016,239000,41000,1,1,0,0
926,2017,2600000,47162,0,2,1,0
927,2015,750000,45974,0,2,0,0
928,2012,229999,49824,1,1,0,0
929,2013,1300000,58500,0,1,1,0
930,2005,80000,56580,1,1,0,0
931,2012,385000,52000,0,1,0,0
932,2015,760000,55340,1,2,0,0
933,2017,600000,46507,0,2,0,0
934,2012,735000,55300,0,1,1,0
935,2012,285000,74300,0,1,0,0
936,2010,350000,48781,1,1,0,0
937,2010,290000,87620,0,1,1,0
938,2017,890000,40219,0,1,1,0
939,2011,385000,11473,1,1,0,0
940,2017,425000,8352,1,1,0,0
941,2017,525000,9745,1,1,1,0
942,2017,550000,9748,1,1,0,0
943,2012,271000,49000,1,1,0,0
944,2018,1490000,20694,0,1,0,0
945,2015,490000,31080,1,1,0,0
946,2014,260000,37605,1,1,0,0
947,2014,455000,55850,0,1,0,0
948,2010,75000,58850,1,1,0,0
949,2015,421000,23839,1,1,0,0
950,2016,550000,54000,0,1,0,0
951,2013,330000,38000,1,1,1,0
952,2012,390000,45454,0,1,0,0
953,2015,599000,46957,0,1,1,0
954,2007,110000,60000,1,0,0,3
955,2016,250000,25000,1,0,0,0
956,2012,600000,110000,0,0,0,3
957,2008,280000,190000,0,0,0,1
958,2018,2700000,25000,0,0,1,0
959,2008,80000,90000,1,0,0,0
960,2019,350000,5000,1,0,0,0
961,2015,475000,60000,0,0,0,0
962,2020,4700000,1500,0,0,1,0
963,2018,500000,50000,0,0,0,0
964,2014,250000,120000,0,0,0,0
965,2005,100000,120000,0,0,0,1
966,2019,350000,5000,1,0,0,0
967,2014,4000000,47000,0,0,1,0
968,2017,1900000,20000,1,0,1,0
969,2005,95000,120000,1,0,0,1
970,2015,409999,58000,0,0,0,0
971,2018,1050000,35000,0,0,0,0
972,2017,320000,30000,1,0,0,0
973,2019,1000000,10000,0,0,0,0
974,2017,1770000,25000,0,0,0,0
975,2018,950000,20000,0,0,0,0
976,2018,750000,50000,0,0,0,0
977,2014,220000,42000,1,0,0,0
978,2017,1000000,50000,0,0,0,0
979,2017,660000,116000,0,0,0,0
980,2015,716000,100000,0,0,0,0
981,2015,675000,66000,1,0,0,0
982,2010,385000,110000,0,0,0,2
983,2014,325000,70000,0,0,0,0
984,2015,950000,60000,0,0,0,0
985,2007,400000,110000,0,0,1,3
986,2014,250000,25000,0,0,0,0
987,2018,4000000,68000,1,0,1,0
988,2014,210000,20000,1,0,0,0
989,2011,147000,110000,1,0,0,1
990,2018,725000,26350,0,0,0,0
991,2012,550000,90000,0,0,0,0
992,2016,475000,25000,1,0,0,0
993,2014,250000,50000,1,0,0,1
994,2006,70000,60000,1,0,0,1
995,2012,160000,70000,1,0,0,2
996,2011,1000000,90000,0,0,1,1
997,2001,68000,70000,1,0,0,0
998,2017,500000,26500,1,0,0,0
999,2013,170000,60000,0,0,0,0
1000,2018,1300000,35000,0,0,0,0
1001,2020,1050000,10000,0,0,0,0
1002,2009,300000,15000,1,0,0,0
1003,2016,600000,25000,1,0,0,0
1004,2017,900000,50000,0,0,0,0
1005,2019,550000,25000,1,0,0,0
1006,2007,100000,52000,1,0,0,1
1007,2017,400000,15000,1,0,0,0
1008,2011,120000,20000,1,0,0,0
1009,2013,300000,90000,0,0,0,0
1010,2011,140000,60000,0,0,0,1
1011,2015,640000,23000,1,0,0,0
1012,2018,380000,22155,1,0,0,0
1013,2011,120000,20000,1,0,0,0
1014,2018,650000,70000,1,0,0,0
1015,2009,150000,60000,1,0,0,1
1016,2018,550000,35000,1,0,0,0
1017,2012,650000,71042,0,1,0,0
1018,2012,1025000,167870,0,1,0,1
1019,2011,195000,133564,0,1,0,0
1020,2018,3800000,10000,0,1,1,0
1021,2013,1490000,40000,0,1,1,0
1022,2019,4950000,30000,0,1,1,0
1023,2018,1140000,23038,1,2,1,0
1024,2011,95000,70000,0,0,0,0
1025,2017,3050000,30000,0,0,1,0
1026,2017,550000,19890,1,1,1,0
1027,2015,625000,11918,1,2,0,0
1028,2017,520000,10510,1,1,1,0
1029,2016,239000,41000,1,1,0,0
1030,2017,2600000,47162,0,2,1,0
1031,2012,229999,49824,1,1,0,0
1032,2013,1300000,58500,0,1,1,0
1033,2017,585000,43608,1,2,0,0
1034,2018,825000,11212,1,2,1,0
1035,2013,280000,52000,0,1,0,0
1036,2016,725000,49217,1,2,0,0
1037,2015,300000,90000,0,0,0,0
1038,2015,375000,70000,1,0,0,0
1039,2003,310000,90000,1,0,0,3
1040,2011,375000,190000,0,0,0,2
1041,2016,1950000,106000,0,0,1,0
1042,2012,400000,80000,0,0,0,1
1043,2014,550000,80000,0,0,0,1
1044,2018,270000,20000,1,0,0,0
1045,2012,555000,110000,0,0,0,1
1046,2013,500000,60000,0,0,0,1
1047,2010,400000,130000,0,0,1,1
1048,2017,280000,28838,1,0,0,0
1049,2008,80000,200000,1,0,0,0
1050,2006,55000,100000,0,0,0,0
1051,2014,250000,50000,1,0,0,0
1052,2010,250000,190000,0,0,0,3
1053,2007,95000,100000,0,0,0,1
1054,2014,725000,135000,0,0,0,1
1055,2015,320000,50000,0,0,0,2
1056,2014,1200000,135000,0,0,1,2
1057,2012,160000,50000,0,0,0,0
1058,2018,790000,19571,0,1,0,0
1059,2018,1200000,29600,1,1,0,0
1060,2011,175000,70000,1,0,0,0
1061,2018,950000,15000,0,0,1,0
1062,2019,340000,50000,1,0,0,0
1063,2017,825000,13500,0,0,0,0
1064,2018,3100000,22000,1,0,1,0
1065,2018,780000,25000,0,1,0,0
1066,2010,350000,80000,1,0,1,2
1067,2018,690000,39000,1,1,0,0
1068,2016,245000,60000,1,0,0,0
1069,2018,790000,49000,0,1,0,0
1070,2018,680000,48600,1,1,0,0
1071,2017,540000,20000,1,0,0,1
1072,2016,425000,25000,1,0,0,0
1073,2008,140000,120000,1,0,0,0
1074,2019,1100000,30000,0,0,0,0
1075,2015,715000,35000,0,0,0,0
1076,2013,1580000,86000,0,1,1,0
1077,2015,1750000,127643,0,1,1,0
1078,2018,400000,54000,1,1,0,1
1079,2014,1750000,102354,0,1,1,0
1080,2014,1850000,62237,1,1,1,0
1081,2005,114999,90000,1,1,0,1
1082,2018,950000,21394,0,1,0,0
1083,2015,310000,32686,1,1,0,0
1084,2006,575000,1001,0,1,0,0
1085,2017,490000,22000,0,1,0,0
1086,2017,480000,53261,1,1,0,0
1087,2016,3500000,53000,0,1,1,0
1088,2018,370000,10000,1,1,0,0
1089,2017,835000,14000,0,1,0,0
1090,2017,650000,44000,1,1,0,0
1091,2014,670000,39895,0,1,0,0
1092,2017,950000,73000,0,1,1,0
1093,2014,690000,17000,1,1,0,0
1094,2017,670000,18591,1,1,0,0
1095,2017,925000,26766,0,1,0,0
1096,2015,250000,30000,1,0,0,0
1097,2016,509999,42000,0,0,0,0
1098,2014,520000,110000,0,0,0,0
1099,2005,100000,100000,0,0,0,0
1100,2006,85000,300000,0,0,0,1
1101,2009,130000,110000,0,0,0,2
1102,2018,950000,27620,0,1,0,0
1103,2015,450000,70000,1,0,0,0
1104,2012,320000,50000,1,0,0,1
1105,2015,480000,50000,0,0,0,0
1106,2014,2490000,46000,0,0,1,0
1107,2012,790000,82000,0,0,0,0
1108,2016,120000,120000,1,0,0,0
1109,2006,75000,80000,1,0,0,2
1110,2010,99000,70000,1,0,0,0
1111,2018,1015000,20000,0,0,0,0
1112,2013,250000,200000,0,0,0,1
1113,2011,520000,120000,0,0,0,0
1114,2018,1100000,30000,0,0,1,0
1115,2005,200000,223000,0,0,0,0
1116,2016,525000,60000,0,0,0,0
1117,2016,500000,40000,1,0,0,0
1118,2016,675000,161327,0,0,0,0
1119,2009,150000,60000,1,0,0,2
1120,2007,250000,50000,0,0,0,0
1121,2018,450000,6000,1,0,0,0
1122,2009,150000,68000,1,0,0,1
1123,2012,200000,85000,0,0,0,0
1124,2011,525000,70000,0,0,1,0
1125,1999,60000,35000,1,0,0,1
1126,2010,180000,100000,0,0,0,1
1127,2015,475000,110000,0,0,0,0
1128,2010,380000,195000,0,0,1,1
1129,2015,285000,46000,1,0,0,1
1130,2008,91200,60000,1,0,0,1
1131,2017,250000,46000,1,0,0,0
1132,2015,400000,42000,0,0,0,0
1133,2006,160000,90000,1,0,1,1
1134,2012,650000,85000,0,0,0,1
1135,2012,409999,120000,0,0,0,2
1136,2013,425000,72000,0,0,0,0
1137,2013,250000,71000,2,0,0,1
1138,2009,200000,110000,1,0,0,3
1139,2013,250000,71000,2,0,0,1
1140,2010,130000,144000,0,0,0,3
1141,2017,260000,30000,1,1,0,0
1142,2007,155000,65000,1,1,0,0
1143,2015,450000,38000,0,0,0,0
1144,2012,220000,90000,1,0,0,1
1145,2018,650000,37000,0,1,0,0
1146,2018,285000,30000,1,1,0,0
1147,2018,725000,26000,1,1,1,0
1148,2016,625000,30000,1,1,0,0
1149,2016,550000,23000,1,1,0,0
1150,2012,240000,40000,1,1,0,0
1151,2014,600000,27000,0,1,0,0
1152,2012,350000,65000,0,1,0,0
1153,2015,245000,32000,1,1,0,0
1154,2016,600000,56000,0,1,0,0
1155,2017,2400000,30000,0,0,1,0
1156,2014,620000,80000,0,1,0,0
1157,2014,395000,52000,1,1,0,1
1158,2014,635000,13250,1,1,0,0
1159,2011,180000,36000,1,1,0,0
1160,2015,484999,73000,0,1,0,1
1161,2004,110000,60000,1,0,0,0
1162,2006,150000,60000,1,0,0,1
1163,2012,400000,110000,0,0,0,0
1164,2012,200000,70000,0,0,0,1
1165,2013,302000,60000,0,0,0,1
1166,2011,215000,90000,0,0,0,3
1167,2004,155000,80000,1,0,0,1
1168,2014,1000000,101000,0,0,0,1
1169,2018,550000,44000,0,0,0,0
1170,2006,200000,45000,1,0,0,0
1171,2017,750000,120000,0,0,0,0
1172,2005,90000,90000,1,0,0,1
1173,2007,80000,120000,1,0,0,1
1174,2013,229999,13500,1,0,0,0
1175,2017,350000,10000,1,0,0,0
1176,2015,325000,25000,1,0,0,2
1177,2018,450000,8500,1,0,0,0
1178,2012,250000,120000,0,0,0,0
1179,2012,225000,120000,0,0,0,0
1180,2009,150000,90246,1,0,0,2
1181,2008,110000,90000,1,0,0,1
1182,2010,150000,40000,1,0,0,1
1183,2000,165000,60000,1,0,0,3
1184,2017,610000,32000,0,0,0,1
1185,2013,170000,60400,0,0,0,0
1186,2008,150000,70950,0,0,0,1
1187,2013,300000,90000,0,0,0,0
1188,2015,375000,72000,0,0,0,0
1189,2013,390000,90000,0,0,0,0
1190,2017,600000,10000,1,0,0,0
1191,2014,204999,25000,1,0,0,1
1192,2009,270000,80000,0,0,0,1
1193,2017,375000,10000,1,0,0,0
1194,2020,700000,1100,1,0,0,0
1195,2017,455000,40000,1,0,0,0
1196,2017,375000,10000,1,0,0,0
1197,2014,341000,31491,1,0,0,0
1198,2014,200000,107143,0,0,0,1
1199,2017,450000,15000,1,0,1,0
1200,2012,170000,50000,1,0,0,1
1201,2017,1900000,100000,0,0,0,0
1202,2016,500000,60000,0,0,0,0
1203,2016,819999,85000,0,0,0,0
1204,2014,351000,40000,1,0,0,1
1205,2011,195000,80000,1,0,0,1
1206,2008,250000,82000,0,0,0,1
1207,2008,120000,70000,1,0,0,1
1208,2009,180000,70000,1,0,0,2
1209,2016,430000,20000,0,0,0,0
1210,2012,75000,35000,1,0,0,1
1211,2017,750000,80000,0,0,0,0
1212,2011,60000,40000,1,0,0,0
1213,2015,1500000,46412,0,0,0,0
1214,2011,390000,150000,0,0,0,3
1215,2016,630000,50000,0,0,0,0
1216,2018,1085000,15000,0,0,0,0
1217,2012,190000,60000,1,0,0,1
1218,2018,550000,25000,1,0,1,0
1219,2012,200000,90000,1,0,0,2
1220,2011,165000,60000,1,0,0,0
1221,2013,260000,65000,0,0,0,0
1222,2011,151000,40000,1,0,0,0
1223,2018,780000,50000,0,0,0,0
1224,2012,175000,80000,0,0,0,2
1225,2010,170000,107500,0,1,0,0
1226,2013,210000,135000,0,1,0,1
1227,2007,90000,43826,1,1,0,1
1228,2016,535000,55838,1,1,0,0
1229,2007,195000,112880,0,1,0,0
1230,2011,140000,90000,0,0,0,2
1231,2012,350000,40000,1,0,0,0
1232,2013,425000,66000,1,0,0,0
1233,2017,300000,30300,1,0,0,0
1234,2013,340000,85000,0,0,0,1
1235,2009,250000,80659,1,1,0,0
1236,2008,170000,81324,1,1,0,0
1237,2013,315000,127884,0,1,0,0
1238,2015,200000,50000,1,0,0,0
1239,2016,300000,25000,1,0,0,0
1240,2015,300000,66755,0,1,0,0
1241,2013,380000,123084,1,1,0,0
1242,2009,250000,806599,1,1,0,0
1243,2013,310000,95851,0,1,0,0
1244,2010,260000,50000,1,0,0,0
1245,2008,150000,50000,1,0,0,1
1246,2006,85000,60000,1,0,0,1
1247,2015,280000,15000,1,0,0,1
1248,2016,850000,40000,0,0,0,0
1249,2017,375000,20000,1,0,0,1
1250,2006,125000,120000,0,0,0,2
1251,2012,250000,110000,0,0,0,0
1252,2014,715000,234000,0,0,0,0
1253,2011,220000,70000,0,0,0,0
1254,2010,110000,110000,0,0,0,1
1255,2007,150000,84000,1,0,0,1
1256,2012,300000,170000,0,0,0,0
1257,2017,220000,40000,1,0,0,0
1258,2006,75000,96000,1,0,0,1
1259,2009,100000,20000,0,0,0,0
1260,2016,380000,15000,1,0,0,0
1261,2007,100000,50000,1,0,0,0
1262,2010,480000,80000,1,0,0,1
1263,2012,300000,124000,0,0,0,0
1264,2013,190000,70000,0,0,0,0
1265,2012,190000,130000,0,0,0,1
1266,2017,650000,19014,1,1,0,0
1267,2009,300000,23262,1,1,0,0
1268,2016,700000,29600,0,1,0,0
1269,2015,310000,35925,1,1,0,0
1270,2018,500000,12000,1,0,0,0
1271,2013,415000,40771,1,1,0,0
1272,2015,395000,30500,1,1,1,1
1273,2014,430000,42000,1,1,0,1
1274,2007,215000,55800,1,1,0,1
1275,2014,550000,66569,0,1,0,0
1276,2014,415000,81358,0,1,0,0
1277,2015,450000,82695,0,1,0,0
1278,2014,285000,68293,0,1,0,1
1279,2016,580000,32000,1,1,1,0
1280,2014,300000,190621,0,1,0,0
1281,2018,1200000,60000,0,0,0,0
1282,2006,78000,64700,1,0,0,0
1283,2002,65000,100000,1,0,0,1
1284,2016,400000,88470,0,0,0,0
1285,2016,850000,75000,0,0,0,0
1286,2013,450000,120000,0,0,0,1
1287,2012,2500000,35000,0,0,1,0
1288,2017,780000,70000,0,0,0,0
1289,2017,3200000,57000,0,0,1,0
1290,2020,350000,1000,1,0,0,0
1291,2013,285000,120000,0,0,0,1
1292,2015,525000,98000,0,1,0,0
1293,2014,550000,90000,0,1,0,1
1294,2018,580000,70000,0,0,0,0
1295,2013,75000,25000,1,0,0,2
1296,2009,185000,60000,0,0,0,2
1297,2007,110000,90000,1,0,0,3
1298,2004,180000,200000,1,0,0,1
1299,2010,350000,110000,0,0,0,1
1300,2005,60000,126000,1,0,0,1
1301,2018,695000,70000,0,0,0,0
1302,2019,2700000,5000,0,0,1,0
1303,2007,135000,74183,1,0,0,1
1304,2015,640000,70000,0,0,0,1
1305,2014,160000,90000,1,0,0,0
1306,2004,80000,46000,1,0,0,1
1307,2013,340000,110000,0,0,0,1
1308,2012,110000,80000,0,0,0,1
1309,2013,250000,90000,0,0,0,1
1310,2017,1300000,70000,0,0,0,0
1311,2014,250000,1,0,0,0,1
1312,2009,450000,192000,0,0,0,0
1313,2013,240000,70000,1,0,0,3
1314,2007,225000,120000,0,0,0,1
1315,2015,275000,60000,1,0,0,1
1316,2012,320000,120000,0,0,0,1
1317,2008,75000,120000,1,0,0,0
1318,2007,85000,50000,1,0,0,1
1319,2009,90000,120000,0,0,0,0
1320,2007,85000,80000,1,0,0,1
1321,2008,350000,80000,0,0,0,1
1322,2009,355000,100000,0,0,1,1
1323,2020,619000,1500,1,0,0,0
1324,2018,1700000,50000,0,0,0,0
1325,2006,55000,100000,0,0,0,1
1326,2006,95000,83411,1,0,0,0
1327,2011,300000,120000,0,0,0,1
1328,2006,81000,83411,1,0,0,0
1329,2015,1000000,80000,0,0,1,1
1330,2019,925000,50000,0,0,0,0
1331,2015,450000,40000,0,0,0,0
1332,2014,600000,13270,0,0,0,0
1333,2006,85000,100000,1,0,1,2
1334,2016,700000,50000,0,0,0,0
1335,2017,486000,26500,1,0,0,0
1336,2013,400000,90000,0,0,0,0
1337,2008,120000,100000,1,0,0,2
1338,2018,275000,35000,1,0,0,0
1339,2016,580000,57000,0,0,0,0
1340,2015,375000,70000,1,0,0,0
1341,2015,229999,100000,1,0,0,2
1342,2010,110000,88000,1,0,0,1
1343,2017,600000,60000,0,0,0,0
1344,2009,120000,76000,1,0,0,1
1345,2010,200000,100000,0,0,0,1
1346,2012,450000,110000,0,0,0,1
1347,2012,550000,80000,0,0,0,1
1348,2012,220000,80000,1,0,0,1
1349,2001,40000,30000,1,0,0,0
1350,2017,300000,20000,1,0,1,0
1351,2018,630000,40000,0,0,0,0
1352,2017,610000,40000,0,0,0,1
1353,2019,660000,7000,1,0,0,1
1354,2012,220000,80000,3,0,0,1
1355,2011,138000,90000,0,0,0,1
1356,2013,210000,13770,0,0,0,0
1357,2005,125000,34000,1,1,0,0
1358,2008,125000,102000,1,1,0,0
1359,2014,725000,110000,0,0,0,0
1360,2011,170000,90000,1,0,0,1
1361,2015,1200000,70000,0,0,0,2
1362,2003,70000,90000,1,0,0,1
1363,2007,100000,70000,1,0,0,1
1364,2006,300000,80000,1,0,0,1
1365,2013,450000,100000,0,0,0,1
1366,2015,530000,100000,0,0,0,0
1367,2007,100000,143000,1,0,0,2
1368,2010,350000,115000,1,0,0,1
1369,2011,165000,100000,0,0,0,1
1370,2019,475000,120000,0,0,0,1
1371,2013,350000,42000,0,0,0,0
1372,2016,229999,38000,1,0,0,0
1373,2018,800000,35000,0,0,0,0
1374,2014,475000,120000,0,0,0,1
1375,2014,425000,136906,0,0,0,0
1376,2015,660000,97000,0,0,0,1
1377,2019,610000,10000,1,0,1,0
1378,2013,240000,50000,1,0,0,2
1379,2005,70000,60000,1,0,0,1
1380,2011,550000,120000,0,0,0,0
1381,2010,100000,120000,1,0,0,1
1382,2010,350000,90000,0,0,0,1
1383,2013,200000,120000,1,0,0,0
1384,2019,720000,3000,1,0,1,0
1385,2014,350000,133000,0,0,0,0
1386,2016,400000,25000,1,0,0,0
1387,2017,570000,35000,1,0,0,0
1388,2015,130000,70000,1,0,0,0
1389,2016,210000,52000,1,0,0,0
1390,2018,800000,52000,0,0,0,0
1391,2017,700000,39000,0,0,0,0
1392,2011,200000,28689,0,0,0,0
1393,2014,495000,90000,0,0,0,1
1394,2014,325000,80322,0,1,0,0
1395,2019,650000,8000,1,0,0,0
1396,2000,155000,50000,0,0,0,1
1397,2007,75000,90000,1,0,0,1
1398,2015,350000,61658,0,1,0,0
1399,2010,90000,50000,1,0,0,2
1400,2016,600000,80000,0,0,0,0
1401,2010,400000,185000,0,0,0,0
1402,2014,370000,57000,0,0,0,1
1403,2000,50000,60000,1,0,0,0
1404,2004,125000,120000,1,0,0,1
1405,2018,1800000,26000,0,0,1,0
1406,2019,650000,20000,1,0,1,0
1407,2017,800000,30600,1,0,1,0
1408,2020,802000,5000,1,0,0,0
1409,2015,2300000,35000,0,0,1,2
1410,2016,430000,35000,0,0,0,0
1411,2017,650000,23000,1,0,0,0
1412,2004,170000,120000,0,0,0,0
1413,2011,450000,235000,0,0,1,0
1414,2013,250000,87000,1,0,0,0
1415,2014,550000,72000,1,0,0,1
1416,2013,2000000,64000,0,0,1,1
1417,2007,140000,100000,1,0,0,1
1418,2012,155000,12000,1,0,0,0
1419,2010,120000,67000,1,0,0,2
1420,2012,287000,70000,0,0,0,0
1421,2016,675000,60000,0,0,0,0
1422,2011,235000,74500,1,0,0,1
1423,2011,300000,118700,0,0,0,1
1424,2015,434999,40000,1,0,1,1
1425,2004,225000,223660,0,0,1,2
1426,2006,160000,140000,1,0,0,1
1427,2020,600000,5000,1,0,0,0
1428,2016,470000,100000,0,0,0,1
1429,2011,300000,100000,1,0,0,1
1430,2018,600000,2000,1,0,0,0
1431,2020,640000,4000,1,0,1,0
1432,2006,50000,120000,0,0,0,3
1433,2015,600000,35000,1,0,0,0
1434,2014,290000,29000,3,0,0,0
1435,2015,600000,30000,1,0,0,0
1436,2012,190000,120000,0,0,0,0
